# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
8.973e+00	3.000e-01	-2.303e+00	2.000e-01
1.146e+01	3.000e-01	-2.748e+00	2.000e-01
1.078e+01	3.000e-01	-2.934e+00	2.000e-01
1.076e+01	3.000e-01	-2.571e+00	2.000e-01
1.084e+01	3.000e-01	-2.252e+00	2.000e-01
9.642e+00	3.000e-01	-2.719e+00	2.000e-01
1.081e+01	3.000e-01	-2.457e+00	2.000e-01
1.085e+01	3.000e-01	-2.691e+00	2.000e-01
9.715e+00	3.000e-01	-2.191e+00	2.000e-01
1.064e+01	3.000e-01	-2.568e+00	2.000e-01
1.122e+01	3.000e-01	-2.700e+00	2.000e-01
9.790e+00	3.000e-01	-2.853e+00	2.000e-01
1.062e+01	3.000e-01	-2.220e+00	2.000e-01
8.892e+00	3.000e-01	-2.685e+00	2.000e-01
9.172e+00	3.000e-01	-2.783e+00	2.000e-01
9.751e+00	3.000e-01	-1.896e+00	2.000e-01
9.623e+00	3.000e-01	-1.961e+00	2.000e-01
8.489e+00	3.000e-01	-2.528e+00	2.000e-01
1.058e+01	3.000e-01	-2.099e+00	2.000e-01
1.144e+01	3.000e-01	-3.017e+00	2.000e-01
1.051e+01	3.000e-01	-2.024e+00	2.000e-01
7.801e+00	3.000e-01	-2.677e+00	2.000e-01
1.094e+01	3.000e-01	-2.455e+00	2.000e-01
9.734e+00	3.000e-01	-2.774e+00	2.000e-01
1.062e+01	3.000e-01	-2.550e+00	2.000e-01
1.059e+01	3.000e-01	-2.536e+00	2.000e-01
1.045e+01	3.000e-01	-2.205e+00	2.000e-01
1.072e+01	3.000e-01	-2.710e+00	2.000e-01
1.125e+01	3.000e-01	-2.424e+00	2.000e-01
1.035e+01	3.000e-01	-2.721e+00	2.000e-01
1.033e+01	3.000e-01	-2.465e+00	2.000e-01
1.042e+01	3.000e-01	-2.925e+00	2.000e-01
1.029e+01	3.000e-01	-2.407e+00	2.000e-01
9.869e+00	3.000e-01	-1.747e+00	2.000e-01
9.587e+00	3.000e-01	-2.421e+00	2.000e-01
1.122e+01	3.000e-01	-2.771e+00	2.000e-01
1.045e+01	3.000e-01	-2.586e+00	2.000e-01
1.141e+01	3.000e-01	-2.697e+00	2.000e-01
1.031e+01	3.000e-01	-2.778e+00	2.000e-01
7.918e+00	3.000e-01	-3.091e+00	2.000e-01
1.088e+01	3.000e-01	-2.569e+00	2.000e-01
1.089e+01	3.000e-01	-2.855e+00	2.000e-01
1.054e+01	3.000e-01	-3.016e+00	2.000e-01
1.065e+01	3.000e-01	-2.696e+00	2.000e-01
8.146e+00	3.000e-01	-2.089e+00	2.000e-01
1.070e+01	3.000e-01	-2.859e+00	2.000e-01
1.017e+01	3.000e-01	-2.731e+00	2.000e-01
1.074e+01	3.000e-01	-2.587e+00	2.000e-01
9.267e+00	3.000e-01	-2.523e+00	2.000e-01
9.586e+00	3.000e-01	-2.421e+00	2.000e-01
1.080e+01	3.000e-01	-1.792e+00	2.000e-01
1.053e+01	3.000e-01	-2.465e+00	2.000e-01
1.026e+01	3.000e-01	-2.287e+00	2.000e-01
1.066e+01	3.000e-01	-2.281e+00	2.000e-01
1.106e+01	3.000e-01	-2.093e+00	2.000e-01
1.069e+01	3.000e-01	-2.622e+00	2.000e-01
1.031e+01	3.000e-01	-2.778e+00	2.000e-01
1.056e+01	3.000e-01	-1.611e+00	2.000e-01
1.047e+01	3.000e-01	-2.769e+00	2.000e-01
1.077e+01	3.000e-01	-2.421e+00	2.000e-01
9.568e+00	3.000e-01	-2.779e+00	2.000e-01
1.009e+01	3.000e-01	-2.104e+00	2.000e-01
1.024e+01	3.000e-01	-2.527e+00	2.000e-01
1.086e+01	3.000e-01	-2.343e+00	2.000e-01
1.151e+01	3.000e-01	-2.526e+00	2.000e-01
1.078e+01	3.000e-01	-2.444e+00	2.000e-01
1.079e+01	3.000e-01	-1.767e+00	2.000e-01
9.902e+00	3.000e-01	-1.457e+00	2.000e-01
1.088e+01	3.000e-01	-2.572e+00	2.000e-01
1.055e+01	3.000e-01	-2.012e+00	2.000e-01
1.187e+01	3.000e-01	-1.858e+00	2.000e-01
1.100e+01	3.000e-01	-1.906e+00	2.000e-01
1.083e+01	3.000e-01	-2.520e+00	2.000e-01
1.116e+01	3.000e-01	-2.042e+00	2.000e-01
1.068e+01	3.000e-01	-2.228e+00	2.000e-01
1.157e+01	3.000e-01	-2.841e+00	2.000e-01
9.915e+00	3.000e-01	-2.686e+00	2.000e-01
9.547e+00	3.000e-01	-2.202e+00	2.000e-01
1.013e+01	3.000e-01	-2.420e+00	2.000e-01
1.101e+01	3.000e-01	-3.007e+00	2.000e-01
1.001e+01	3.000e-01	-2.270e+00	2.000e-01
