# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
7.345e+00	3.000e-01	-2.404e+00	2.000e-01
7.526e+00	3.000e-01	-2.707e+00	2.000e-01
1.009e+01	3.000e-01	-3.157e+00	2.000e-01
8.328e+00	3.000e-01	-2.368e+00	2.000e-01
7.631e+00	3.000e-01	-2.864e+00	2.000e-01
1.052e+01	3.000e-01	-1.937e+00	2.000e-01
9.614e+00	3.000e-01	-2.402e+00	2.000e-01
9.907e+00	3.000e-01	-2.835e+00	2.000e-01
7.045e+00	3.000e-01	-2.591e+00	2.000e-01
7.289e+00	3.000e-01	-2.932e+00	2.000e-01
9.457e+00	3.000e-01	-2.425e+00	2.000e-01
7.189e+00	3.000e-01	-2.260e+00	2.000e-01
8.222e+00	3.000e-01	-2.489e+00	2.000e-01
1.075e+01	3.000e-01	-2.758e+00	2.000e-01
8.050e+00	3.000e-01	-2.498e+00	2.000e-01
8.049e+00	3.000e-01	-1.583e+00	2.000e-01
8.209e+00	3.000e-01	-1.971e+00	2.000e-01
9.201e+00	3.000e-01	-2.426e+00	2.000e-01
7.413e+00	3.000e-01	-2.183e+00	2.000e-01
1.090e+01	3.000e-01	-2.783e+00	2.000e-01
7.993e+00	3.000e-01	-2.509e+00	2.000e-01
7.739e+00	3.000e-01	-2.726e+00	2.000e-01
9.797e+00	3.000e-01	-2.410e+00	2.000e-01
8.929e+00	3.000e-01	-2.615e+00	2.000e-01
7.814e+00	3.000e-01	-2.213e+00	2.000e-01
1.041e+01	3.000e-01	-2.926e+00	2.000e-01
9.959e+00	3.000e-01	-1.687e+00	2.000e-01
1.037e+01	3.000e-01	-2.134e+00	2.000e-01
8.069e+00	3.000e-01	-2.359e+00	2.000e-01
1.070e+01	3.000e-01	-2.430e+00	2.000e-01
8.284e+00	3.000e-01	-1.907e+00	2.000e-01
1.045e+01	3.000e-01	-2.493e+00	2.000e-01
9.484e+00	3.000e-01	-2.238e+00	2.000e-01
1.032e+01	3.000e-01	-1.807e+00	2.000e-01
9.614e+00	3.000e-01	-2.480e+00	2.000e-01
8.445e+00	3.000e-01	-2.933e+00	2.000e-01
7.421e+00	3.000e-01	-2.655e+00	2.000e-01
1.063e+01	3.000e-01	-2.648e+00	2.000e-01
7.516e+00	3.000e-01	-2.317e+00	2.000e-01
8.459e+00	3.000e-01	-2.715e+00	2.000e-01
7.522e+00	3.000e-01	-2.384e+00	2.000e-01
7.871e+00	3.000e-01	-2.679e+00	2.000e-01
7.575e+00	3.000e-01	-2.764e+00	2.000e-01
7.247e+00	3.000e-01	-2.578e+00	2.000e-01
1.076e+01	3.000e-01	-2.581e+00	2.000e-01
7.877e+00	3.000e-01	-2.558e+00	2.000e-01
9.190e+00	3.000e-01	-3.009e+00	2.000e-01
7.611e+00	3.000e-01	-2.269e+00	2.000e-01
9.612e+00	3.000e-01	-2.204e+00	2.000e-01
8.967e+00	3.000e-01	-2.638e+00	2.000e-01
7.745e+00	3.000e-01	-1.977e+00	2.000e-01
7.728e+00	3.000e-01	-2.492e+00	2.000e-01
1.063e+01	3.000e-01	-2.372e+00	2.000e-01
