# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
8.577e+00	3.000e-01	-2.504e+00	2.000e-01
1.066e+01	3.000e-01	-2.853e+00	2.000e-01
1.077e+01	3.000e-01	-2.773e+00	2.000e-01
1.120e+01	3.000e-01	-2.696e+00	2.000e-01
1.061e+01	3.000e-01	-2.876e+00	2.000e-01
1.013e+01	3.000e-01	-2.707e+00	2.000e-01
1.084e+01	3.000e-01	-2.271e+00	2.000e-01
1.047e+01	3.000e-01	-2.756e+00	2.000e-01
1.012e+01	3.000e-01	-2.248e+00	2.000e-01
8.257e+00	3.000e-01	-2.730e+00	2.000e-01
1.122e+01	3.000e-01	-2.796e+00	2.000e-01
1.039e+01	3.000e-01	-2.563e+00	2.000e-01
9.733e+00	3.000e-01	-2.288e+00	2.000e-01
9.709e+00	3.000e-01	-2.888e+00	2.000e-01
9.337e+00	3.000e-01	-2.414e+00	2.000e-01
1.058e+01	3.000e-01	-2.001e+00	2.000e-01
1.048e+01	3.000e-01	-2.059e+00	2.000e-01
1.082e+01	3.000e-01	-3.104e+00	2.000e-01
1.044e+01	3.000e-01	-1.998e+00	2.000e-01
1.053e+01	3.000e-01	-2.675e+00	2.000e-01
9.373e+00	3.000e-01	-2.649e+00	2.000e-01
1.117e+01	3.000e-01	-2.592e+00	2.000e-01
1.024e+01	3.000e-01	-2.663e+00	2.000e-01
8.363e+00	3.000e-01	-2.750e+00	2.000e-01
9.499e+00	3.000e-01	-2.653e+00	2.000e-01
1.002e+01	3.000e-01	-2.741e+00	2.000e-01
9.492e+00	3.000e-01	-2.256e+00	2.000e-01
1.109e+01	3.000e-01	-2.067e+00	2.000e-01
1.038e+01	3.000e-01	-2.343e+00	2.000e-01
1.088e+01	3.000e-01	-2.807e+00	2.000e-01
1.065e+01	3.000e-01	-2.596e+00	2.000e-01
9.753e+00	3.000e-01	-2.913e+00	2.000e-01
1.164e+01	3.000e-01	-2.222e+00	2.000e-01
1.117e+01	3.000e-01	-1.722e+00	2.000e-01
9.273e+00	3.000e-01	-2.262e+00	2.000e-01
1.050e+01	3.000e-01	-3.087e+00	2.000e-01
7.397e+00	3.000e-01	-2.818e+00	2.000e-01
7.290e+00	3.000e-01	-2.559e+00	2.000e-01
1.033e+01	3.000e-01	-2.340e+00	2.000e-01
1.107e+01	3.000e-01	-3.047e+00	2.000e-01
1.122e+01	3.000e-01	-2.904e+00	2.000e-01
1.086e+01	3.000e-01	-2.405e+00	2.000e-01
1.134e+01	3.000e-01	-2.210e+00	2.000e-01
1.108e+01	3.000e-01	-2.852e+00	2.000e-01
1.091e+01	3.000e-01	-2.941e+00	2.000e-01
1.021e+01	3.000e-01	-2.733e+00	2.000e-01
9.963e+00	3.000e-01	-2.761e+00	2.000e-01
1.048e+01	3.000e-01	-2.142e+00	2.000e-01
1.110e+01	3.000e-01	-2.677e+00	2.000e-01
1.088e+01	3.000e-01	-2.315e+00	2.000e-01
9.683e+00	3.000e-01	-1.872e+00	2.000e-01
1.075e+01	3.000e-01	-2.437e+00	2.000e-01
9.177e+00	3.000e-01	-2.593e+00	2.000e-01
1.076e+01	3.000e-01	-2.446e+00	2.000e-01
1.088e+01	3.000e-01	-1.974e+00	2.000e-01
1.059e+01	3.000e-01	-2.126e+00	2.000e-01
9.695e+00	3.000e-01	-2.748e+00	2.000e-01
1.092e+01	3.000e-01	-1.702e+00	2.000e-01
1.114e+01	3.000e-01	-2.742e+00	2.000e-01
1.058e+01	3.000e-01	-2.336e+00	2.000e-01
1.065e+01	3.000e-01	-2.855e+00	2.000e-01
1.154e+01	3.000e-01	-2.264e+00	2.000e-01
1.158e+01	3.000e-01	-2.499e+00	2.000e-01
1.032e+01	3.000e-01	-3.066e+00	2.000e-01
1.051e+01	3.000e-01	-2.261e+00	2.000e-01
1.048e+01	3.000e-01	-2.748e+00	2.000e-01
1.105e+01	3.000e-01	-1.416e+00	2.000e-01
