# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
1.035e+01	3.000e-01	-2.202e+00	2.000e-01
8.204e+00	3.000e-01	-2.680e+00	2.000e-01
8.577e+00	3.000e-01	-3.046e+00	2.000e-01
1.129e+01	3.000e-01	-2.832e+00	2.000e-01
1.053e+01	3.000e-01	-2.735e+00	2.000e-01
1.048e+01	3.000e-01	-2.277e+00	2.000e-01
9.623e+00	3.000e-01	-2.016e+00	2.000e-01
9.478e+00	3.000e-01	-2.736e+00	2.000e-01
1.008e+01	3.000e-01	-2.422e+00	2.000e-01
7.785e+00	3.000e-01	-2.421e+00	2.000e-01
1.034e+01	3.000e-01	-2.235e+00	2.000e-01
1.020e+01	3.000e-01	-2.816e+00	2.000e-01
7.240e+00	3.000e-01	-2.351e+00	2.000e-01
8.115e+00	3.000e-01	-2.702e+00	2.000e-01
8.204e+00	3.000e-01	-2.822e+00	2.000e-01
1.118e+01	3.000e-01	-1.778e+00	2.000e-01
7.705e+00	3.000e-01	-1.735e+00	2.000e-01
1.099e+01	3.000e-01	-2.712e+00	2.000e-01
1.013e+01	3.000e-01	-1.660e+00	2.000e-01
1.134e+01	3.000e-01	-2.728e+00	2.000e-01
9.623e+00	3.000e-01	-2.181e+00	2.000e-01
1.079e+01	3.000e-01	-2.540e+00	2.000e-01
1.100e+01	3.000e-01	-2.419e+00	2.000e-01
1.083e+01	3.000e-01	-2.755e+00	2.000e-01
9.708e+00	3.000e-01	-2.484e+00	2.000e-01
1.004e+01	3.000e-01	-2.733e+00	2.000e-01
1.101e+01	3.000e-01	-2.084e+00	2.000e-01
7.124e+00	3.000e-01	-2.343e+00	2.000e-01
1.067e+01	3.000e-01	-2.574e+00	2.000e-01
1.125e+01	3.000e-01	-2.995e+00	2.000e-01
1.147e+01	3.000e-01	-2.459e+00	2.000e-01
9.736e+00	3.000e-01	-2.986e+00	2.000e-01
8.752e+00	3.000e-01	-2.236e+00	2.000e-01
1.081e+01	3.000e-01	-1.874e+00	2.000e-01
9.539e+00	3.000e-01	-2.279e+00	2.000e-01
7.620e+00	3.000e-01	-2.708e+00	2.000e-01
1.060e+01	3.000e-01	-2.406e+00	2.000e-01
1.087e+01	3.000e-01	-2.279e+00	2.000e-01
9.538e+00	3.000e-01	-2.277e+00	2.000e-01
1.040e+01	3.000e-01	-2.773e+00	2.000e-01
1.039e+01	3.000e-01	-2.988e+00	2.000e-01
9.460e+00	3.000e-01	-2.740e+00	2.000e-01
9.675e+00	3.000e-01	-2.595e+00	2.000e-01
1.062e+01	3.000e-01	-2.923e+00	2.000e-01
1.041e+01	3.000e-01	-2.300e+00	2.000e-01
7.234e+00	3.000e-01	-2.758e+00	2.000e-01
1.031e+01	3.000e-01	-2.700e+00	2.000e-01
8.999e+00	3.000e-01	-2.449e+00	2.000e-01
7.903e+00	3.000e-01	-2.327e+00	2.000e-01
1.102e+01	3.000e-01	-2.511e+00	2.000e-01
8.467e+00	3.000e-01	-2.075e+00	2.000e-01
7.719e+00	3.000e-01	-2.996e+00	2.000e-01
1.062e+01	3.000e-01	-2.697e+00	2.000e-01
9.129e+00	3.000e-01	-2.235e+00	2.000e-01
1.132e+01	3.000e-01	-2.168e+00	2.000e-01
1.098e+01	3.000e-01	-2.661e+00	2.000e-01
9.782e+00	3.000e-01	-2.588e+00	2.000e-01
1.155e+01	3.000e-01	-1.609e+00	2.000e-01
8.845e+00	3.000e-01	-3.298e+00	2.000e-01
9.446e+00	3.000e-01	-2.443e+00	2.000e-01
9.830e+00	3.000e-01	-2.641e+00	2.000e-01
1.064e+01	3.000e-01	-1.624e+00	2.000e-01
7.521e+00	3.000e-01	-2.475e+00	2.000e-01
9.690e+00	3.000e-01	-2.540e+00	2.000e-01
1.143e+01	3.000e-01	-1.921e+00	2.000e-01
1.049e+01	3.000e-01	-2.366e+00	2.000e-01
8.013e+00	3.000e-01	-1.578e+00	2.000e-01
9.564e+00	3.000e-01	-1.960e+00	2.000e-01
8.201e+00	3.000e-01	-2.419e+00	2.000e-01
1.069e+01	3.000e-01	-1.697e+00	2.000e-01
1.028e+01	3.000e-01	-2.058e+00	2.000e-01
