# Every line stores data for the host of one SN Ia event.
# log10(Mstar/Msun)	err_log10(Mstar/Msun	log10(Z)	scat_log10(Z)
8.737e+00	3.000e-01	-2.481e+00	2.000e-01
1.056e+01	3.000e-01	-2.866e+00	2.000e-01
7.651e+00	3.000e-01	-2.676e+00	2.000e-01
1.072e+01	3.000e-01	-2.800e+00	2.000e-01
1.056e+01	3.000e-01	-2.905e+00	2.000e-01
1.085e+01	3.000e-01	-1.967e+00	2.000e-01
9.841e+00	3.000e-01	-2.555e+00	2.000e-01
1.087e+01	3.000e-01	-3.209e+00	2.000e-01
9.007e+00	3.000e-01	-2.607e+00	2.000e-01
8.180e+00	3.000e-01	-2.615e+00	2.000e-01
9.671e+00	3.000e-01	-2.495e+00	2.000e-01
7.402e+00	3.000e-01	-2.984e+00	2.000e-01
8.393e+00	3.000e-01	-2.029e+00	2.000e-01
9.385e+00	3.000e-01	-2.624e+00	2.000e-01
9.495e+00	3.000e-01	-2.407e+00	2.000e-01
8.665e+00	3.000e-01	-2.035e+00	2.000e-01
1.050e+01	3.000e-01	-1.591e+00	2.000e-01
9.783e+00	3.000e-01	-2.675e+00	2.000e-01
1.131e+01	3.000e-01	-1.805e+00	2.000e-01
9.977e+00	3.000e-01	-2.731e+00	2.000e-01
9.171e+00	3.000e-01	-2.064e+00	2.000e-01
7.849e+00	3.000e-01	-2.433e+00	2.000e-01
1.011e+01	3.000e-01	-2.607e+00	2.000e-01
1.079e+01	3.000e-01	-2.689e+00	2.000e-01
1.004e+01	3.000e-01	-2.621e+00	2.000e-01
8.542e+00	3.000e-01	-2.747e+00	2.000e-01
1.018e+01	3.000e-01	-2.252e+00	2.000e-01
1.147e+01	3.000e-01	-2.162e+00	2.000e-01
8.131e+00	3.000e-01	-2.748e+00	2.000e-01
9.077e+00	3.000e-01	-2.609e+00	2.000e-01
1.014e+01	3.000e-01	-2.525e+00	2.000e-01
7.072e+00	3.000e-01	-2.363e+00	2.000e-01
1.123e+01	3.000e-01	-2.531e+00	2.000e-01
7.724e+00	3.000e-01	-1.908e+00	2.000e-01
1.103e+01	3.000e-01	-2.193e+00	2.000e-01
1.129e+01	3.000e-01	-2.952e+00	2.000e-01
9.983e+00	3.000e-01	-2.571e+00	2.000e-01
8.360e+00	3.000e-01	-2.814e+00	2.000e-01
